"","season","team","conference","offense.plays","offense.drives","offense.ppa","offense.totalPPA","offense.successRate","offense.explosiveness","offense.powerSuccess","offense.stuffRate","offense.lineYards","offense.lineYardsTotal","offense.secondLevelYards","offense.secondLevelYardsTotal","offense.openFieldYards","offense.openFieldYardsTotal","offense.totalOpportunies","offense.pointsPerOpportunity","offense.fieldPosition.averageStart","offense.fieldPosition.averagePredictedPoints","offense.havoc.total","offense.havoc.frontSeven","offense.havoc.db","offense.standardDowns.rate","offense.standardDowns.ppa","offense.standardDowns.successRate","offense.standardDowns.explosiveness","offense.passingDowns.rate","offense.passingDowns.ppa","offense.passingDowns.successRate","offense.passingDowns.explosiveness","offense.rushingPlays.rate","offense.rushingPlays.ppa","offense.rushingPlays.totalPPA","offense.rushingPlays.successRate","offense.rushingPlays.explosiveness","offense.passingPlays.rate","offense.passingPlays.ppa","offense.passingPlays.totalPPA","offense.passingPlays.successRate","offense.passingPlays.explosiveness","defense.plays","defense.drives","defense.ppa","defense.totalPPA","defense.successRate","defense.explosiveness","defense.powerSuccess","defense.stuffRate","defense.lineYards","defense.lineYardsTotal","defense.secondLevelYards","defense.secondLevelYardsTotal","defense.openFieldYards","defense.openFieldYardsTotal","defense.totalOpportunies","defense.pointsPerOpportunity","defense.fieldPosition.averageStart","defense.fieldPosition.averagePredictedPoints","defense.havoc.total","defense.havoc.frontSeven","defense.havoc.db","defense.standardDowns.rate","defense.standardDowns.ppa","defense.standardDowns.successRate","defense.standardDowns.explosiveness","defense.passingDowns.rate","defense.passingDowns.ppa","defense.passingDowns.totalPPA","defense.passingDowns.successRate","defense.passingDowns.explosiveness","defense.rushingPlays.rate","defense.rushingPlays.ppa","defense.rushingPlays.totalPPA","defense.rushingPlays.successRate","defense.rushingPlays.explosiveness","defense.passingPlays.rate","defense.passingPlays.ppa","defense.passingPlays.totalPPA","defense.passingPlays.successRate","defense.passingPlays.explosiveness"
"1",2001,"Notre Dame","FBS Independents",624,111,-0.125048851362929,-78.0304832504676,0.342948717948718,0.883027801952788,0.63265306122449,0.224489795918367,2.33112244897959,914,0.841836734693878,330,0.75765306122449,297,86,-0.0813953488372093,66.7,1.688,NA,NA,NA,0.661858974358974,-0.139514829683665,0.406779661016949,0.651115103018736,0.338141025641026,-0.0967339269721036,0.218009478672986,1.73001331110324,0.628205128205128,-0.0953645919171132,-37.3829200315084,0.385204081632653,0.685848790548172,0.328525641025641,-0.127351314751186,-26.1070195239931,0.307317073170732,1.3556314642083,563,117,-0.0483137017429497,-27.2006140812807,0.314387211367673,1.12650307704074,0.466666666666667,0.261290322580645,2.40483870967742,746,0.87741935483871,272,0.619354838709677,192,84,-0.0833333333333333,70.4,-1.392,NA,NA,NA,0.628774422735346,-0.141458229238895,0.344632768361582,0.842002603929867,0.371225577264654,0.109452627125781,15.3880324376214,0.263157894736842,1.75757685375939,0.550621669626998,-0.0903522956531103,-28.0092116524642,0.325806451612903,0.783816681286104,0.410301953818828,0.066614859037322,15.3880324376214,0.329004329004329,1.58191526087255
"2",2002,"Notre Dame","FBS Independents",84,11,-0.141543261050318,-11.8896339282267,0.357142857142857,0.926172359110883,0.384615384615385,0.315789473684211,1.86578947368421,71,0.631578947368421,24,0.0263157894736842,1,9,0,70.3,1.367,NA,NA,NA,0.654761904761905,-0.200040308763617,0.418181818181818,0.736674404503841,0.345238095238095,-0.030600584352681,0.241379310344828,1.54880849567688,0.452380952380952,-0.225316196163859,-8.56201545422663,0.342105263157895,0.85914162253758,0.523809523809524,-0.0515237603362278,-2.26704545479402,0.386363636363636,0.977431157666939,67,12,-0.0268557077454548,-1.79933241894547,0.343283582089552,0.88816615688636,0.5,0.36,1.636,41,0.56,14,0,0,9,0,68.2,-1.592,NA,NA,NA,0.656716417910448,-0.000401697893839586,0.409090909090909,0.702397159750666,0.343283582089552,-0.0774633787659361,4.92567247597359,0.217391304347826,1.55693454657486,0.373134328358209,-0.20719183853219,-5.17979596330474,0.32,0.567363180359992,0.567164179104478,0.129622959894042,4.92567247597359,0.394736842105263,1.05926107770042
"3",2003,"Notre Dame","FBS Independents",658,132,-0.139590034439432,-91.8502426611465,0.276595744680851,1.11851483418533,0.482758620689655,0.327814569536424,1.93377483443709,584,0.811258278145695,245,0.811258278145695,245,97,0,70.3,1.382,NA,NA,NA,0.583586626139818,-0.260679791841699,0.317708333333333,0.872736886728329,0.416413373860182,0.0301123992922112,0.218978102189781,1.61826332734791,0.458966565349544,-0.18840833579412,-56.8993174098242,0.268211920529801,0.937966995422797,0.509118541033435,-0.0625196102813598,-20.9440694442555,0.301492537313433,1.26331062566816,642,135,-0.0628161351455099,-40.3279587634174,0.35202492211838,0.945789780501356,0.666666666666667,0.271386430678466,2.33687315634218,792,0.752212389380531,255,0.628318584070796,213,100,-0.21,63.3,-1.931,NA,NA,NA,0.646417445482866,-0.158214356792845,0.407228915662651,0.668995503984347,0.353582554517134,0.111590305311072,34.2528990143895,0.251101321585903,1.76646053017459,0.52803738317757,-0.139348737986014,-47.2392221772588,0.351032448377581,0.616391543739301,0.429906542056075,0.124104706573875,34.2528990143895,0.38768115942029,1.31212987559187
"4",2004,"Notre Dame","FBS Independents",685,130,-0.0232091027616511,-15.898235391731,0.362043795620438,1.04412018668714,0.543478260869565,0.231607629427793,2.6433242506812,970,0.76566757493188,281,0.604904632152589,222,109,-0.128440366972477,68.6,1.507,0.0408759124087591,0.0262773722627737,0.0145985401459854,0.668613138686131,-0.079935104176064,0.412663755458515,0.770349908042037,0.331386861313869,0.0912424771846095,0.259911894273128,1.92111311319436,0.535766423357664,-0.0617466323463919,-22.6610140711258,0.362397820163488,0.740122225661777,0.432116788321168,0.0919995355846051,27.2318625330431,0.388513513513513,1.39570043726431,687,134,0.00143057777783917,0.982806933375513,0.365356622998544,1.0653593020378,0.485714285714286,0.310469314079422,1.92924187725632,534,0.870036101083033,241,0.472924187725632,131,99,0,72.8,-1.252,0.0611353711790393,0.0480349344978166,0.0131004366812227,0.641921397379913,-0.133988919025824,0.394557823129252,0.807329783356686,0.358078602620087,0.244194797657577,69.8017125666437,0.313008130081301,1.64843899360293,0.403202328966521,-0.164128292099125,-45.4635369114575,0.328519855595668,0.634400670050214,0.553129548762737,0.183688717280641,69.8017125666437,0.421052631578947,1.31046702398075
"5",2005,"Notre Dame","FBS Independents",901,153,0.119138165203094,107.343486847988,0.44284128745838,1.00843720193385,0.716666666666667,0.232346241457859,2.43097949886105,1067,0.958997722095672,421,0.47380410022779,208,92,-0.152173913043478,70.1,1.424,0.0288568257491676,0.0199778024417314,0.00887902330743618,0.691453940066593,-0.0203578585626187,0.470304975922953,0.746899027632532,0.308546059933407,0.431749758030573,0.381294964028777,1.73136819316298,0.487236403995561,-0.0613054049612478,-26.9130727779878,0.414578587699317,0.654374730988561,0.499445061043285,0.304826340595829,137.171853268123,0.455555555555556,1.39602700572603,784,151,0.0965743134389688,75.7142617361515,0.373724489795918,1.15137177504333,0.58974358974359,0.235955056179775,2.62078651685393,933,0.862359550561798,307,1.0252808988764,365,84,0,72.5,-1.249,0.0586734693877551,0.0420918367346939,0.0165816326530612,0.639030612244898,0.000628276104950567,0.429141716566866,0.894792366554014,0.360969387755102,0.266429312394245,85.3855485453716,0.275618374558304,1.85860988818697,0.454081632653061,-0.0132297711444145,-4.70979852741154,0.365168539325843,0.798273624693948,0.530612244897959,0.205253722464836,85.3855485453716,0.362980769230769,1.57972084211451
"6",2006,"Notre Dame","FBS Independents",853,148,0.0927814851969526,79.1426068730005,0.434935521688159,0.930062635503563,0.660714285714286,0.161803713527851,3.13395225464191,1182,1.07957559681698,407,0.710875331564987,268,87,-0.160919540229885,69.8,1.443,0.0293083235638921,0.0211019929660023,0.0082063305978898,0.699882766705744,0.00281931151453497,0.47571189279732,0.737344082299568,0.300117233294256,0.302576085542278,0.33984375,1.55916687814649,0.441969519343494,0.0355872984684476,13.4164115226048,0.427055702917772,0.748536157629391,0.548651817116061,0.143179959547006,67.0082210679986,0.431623931623932,1.11792545599551,784,148,0.0247796288539152,19.4272290214695,0.420918367346939,0.862644313710634,0.608695652173913,0.208037825059102,3.03806146572104,1285,1.14420803782506,484,0.789598108747045,334,75,-0.0933333333333333,71.4,-1.311,0.0561224489795918,0.0420918367346939,0.014030612244898,0.693877551020408,-0.0537268623575668,0.463235294117647,0.688921766302435,0.306122448979592,0.202727675599941,8.49512841407526,0.325,1.42390177456789,0.539540816326531,0.0411503155907624,17.4065834948925,0.432624113475177,0.762039771400958,0.443877551020408,0.0244112885461933,8.49512841407526,0.385057471264368,1.13204349437039
"7",2007,"Notre Dame","FBS Independents",809,166,-0.0768793149046991,-62.1953657579015,0.313967861557478,0.9423425346566,0.58,0.254691689008043,2.28632707774799,853,0.742627345844504,277,0.546916890080429,204,55,-0.127272727272727,69.9,1.421,0.0333745364647713,0.0222496909765142,0.0111248454882571,0.606922126081582,-0.201101584649392,0.366598778004073,0.66010586236258,0.393077873918418,0.114922994669655,0.232704402515723,1.62886416996638,0.4610630407911,-0.109920942843061,-41.0005116804618,0.348525469168901,0.711552199887224,0.531520395550062,-0.0424447066069667,-18.2512238409957,0.274418604651163,1.26946481401594,870,161,0.00231750759328877,2.01623160616123,0.422988505747126,0.782364149436162,0.716417910447761,0.158512720156556,3.15929549902153,1614,1.07632093933464,550,0.702544031311155,359,84,-0.25,64.7,-1.794,0.0505747126436782,0.0379310344827586,0.0126436781609195,0.693103448275862,-0.0549133446887669,0.45771144278607,0.604588808587205,0.306896551724138,0.131569207690965,-11.4821165427318,0.344569288389513,1.31569017198303,0.58735632183908,0.0326237454067823,16.6707339028658,0.442270058708415,0.704857406192851,0.393103448275862,-0.0335734401834262,-11.4821165427318,0.365497076023392,1.05427695157517
"8",2008,"Notre Dame","FBS Independents",860,165,-0.0346006998736253,-29.7566018913178,0.38953488372093,0.909578977755509,0.642857142857143,0.257425742574257,2.56262376237624,1035,0.905940594059406,366,0.554455445544555,224,93,-0.0752688172043011,66.5,1.625,0.0406976744186047,0.0209302325581395,0.0197674418604651,0.673255813953488,-0.100840703575082,0.440414507772021,0.692413284917414,0.326744186046512,0.10188670988845,0.284697508896797,1.60179462367694,0.469767441860465,-0.114922124886897,-46.4285384543062,0.378712871287129,0.653106189238495,0.515116279069767,0.0449543398529631,19.9147725548626,0.381489841986456,1.2309263111626,835,167,0.0194679771547237,16.2557609241943,0.383233532934132,0.876783202423265,0.707317073170732,0.192207792207792,2.88805194805195,1112,1.02077922077922,393,0.898701298701299,346,67,0,69.8,-1.455,0.0562874251497006,0.0395209580838323,0.0167664670658683,0.644311377245509,-0.0466197003710203,0.427509293680297,0.712251038513199,0.355688622754491,0.139182355972401,23.9466806942552,0.303030303030303,1.29725428797121,0.461077844311377,-0.00915765504420347,-3.52569719201834,0.379220779220779,0.689580741328434,0.520958083832335,0.0550498406764487,23.9466806942552,0.36551724137931,1.15759156678953
"9",2009,"Notre Dame","FBS Independents",823,142,0.131562897434195,108.276264588342,0.48359659781288,0.878027564555472,0.65625,0.197802197802198,2.97335164835165,1082,1.12637362637363,410,0.804945054945055,293,83,0,72,1.27,0.0279465370595383,0.0218712029161604,0.00607533414337789,0.718104495747266,0.0833432339451633,0.527918781725888,0.736241255975845,0.281895504252734,0.25439833330496,0.370689655172414,1.3924151026583,0.44228432563791,0.0539340565173192,19.6319965723042,0.464285714285714,0.72829874072077,0.534629404617254,0.221384524857243,97.4091909371871,0.481818181818182,1.09363105755006,753,141,0.100977224313638,76.0358499081696,0.430278884462151,1.00153798681679,0.553571428571429,0.235443037974684,2.94886075949367,1165,1.31645569620253,520,1.26329113924051,499,77,0,70.1,-1.409,0.0597609561752988,0.0438247011952191,0.0159362549800797,0.649402390438247,-0.0174781359857483,0.468302658486708,0.813173262706692,0.350597609561753,0.320388857595456,75.7738313707551,0.359848484848485,1.45559611125059,0.524568393094289,0.00930898292102157,3.67704825380352,0.40506329113924,0.801710889249016,0.456839309428951,0.22027276561266,75.7738313707551,0.436046511627907,1.33093063443457
"10",2010,"Notre Dame","FBS Independents",878,167,0.0269484393032031,23.6607297082123,0.416856492027335,0.900354048102083,0.772727272727273,0.248704663212435,2.6259067357513,1014,1.01036269430052,390,0.880829015544041,340,83,-0.0843373493975904,69,1.503,0.0387243735763098,0.020501138952164,0.0182232346241458,0.643507972665148,-0.0980656404648427,0.453097345132743,0.640934610070035,0.356492027334852,0.252612832494723,0.351437699680511,1.50409383115849,0.439635535307517,-0.0434589914135306,-16.7751706856228,0.393782383419689,0.746635120601967,0.537585421412301,0.0876794680519111,41.384708920502,0.413135593220339,1.102294206986,894,165,0.00636919498632852,5.6940603177777,0.389261744966443,0.847100669377759,0.681818181818182,0.191943127962085,2.87701421800948,1214,0.950236966824645,401,0.611374407582938,258,73,-0.287671232876712,71.7,-1.302,0.0570469798657718,0.0369127516778524,0.0201342281879195,0.682326621923937,-0.0294276756281301,0.442622950819672,0.71032996965289,0.317673378076063,0.0832568396159755,23.987503051451,0.274647887323944,1.32053770688692,0.472035794183445,-0.0207030862163899,-8.73670238331653,0.362559241706161,0.740239272434058,0.506711409395973,0.0529525453674416,23.987503051451,0.388520971302428,1.0857452534739
